url,brand,model,ram,rom,battery,network,sim,warranty_months,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3111711584.html,OPPO,ren0 13 pro,,,,5G,,0,0,1500000,Hải Phòng,https://img.lazcdn.com/g/p/9e45167268e9767cf8e3ad3179ce3ebe.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111705742.html,Xiaomi,redmi note 14,8GB,256GB,,5G,,0,36,4299000,Hà Nội,https://img.lazcdn.com/g/p/3ddd9f6ddb422899152ddb47b1534312.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111692687.html,Xiaomi,14,16GB,512GB,,5G,,0,36,4199000,Hà Nội,https://img.lazcdn.com/g/p/a7f0b9d17b3ea9549306445bdb43a229.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111691890.html,HONOR,x9c,12GB,256GB,,5G,,0,41,3899000,Hà Nội,https://img.lazcdn.com/g/p/150d39ffd0e577dfa006b66d6af329ab.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111684720.html,Xiaomi,13t,12GB,256GB,,5G,,0,46,3599000,Hà Nội,https://img.lazcdn.com/g/p/0bfa0a0e83053500fbd976cc351aff7b.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111668847.html,ZTE,blade a55,4GB,64GB,,,,0,37,1899000,Hà Nội,https://img.lazcdn.com/g/p/d6f3cb12e2369915ed00952c88501671.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111664736.html,Motorola,razr 50 ultra,12GB,256GB,,,,0,32,5399000,Hà Nội,https://img.lazcdn.com/g/p/e19396d9cdb4939cea6d821d343d8b2d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111657737.html,Xiaomi,redmi note 13,8GB,256GB,,5G,,0,39,2999000,Hà Nội,https://img.lazcdn.com/g/p/d91260f81133ce7c563efc5cb218b084.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111485012.html,Samsung,galaxy a15,8GB,256GB,,,,0,36,3699000,Hà Nội,https://img.lazcdn.com/g/p/57a49456543a5ca8427a9e52c2088ddf.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111480018.html,HONOR,x5 plus,4GB,64GB,,,,0,37,1699000,Hà Nội,https://img.lazcdn.com/g/p/c3de1b123c4b91f3c3ea62be47d7dfd2.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111466056.html,Xiaomi,redmi note 14,8GB,128GB,,,,0,33,3799000,Hà Nội,https://img.lazcdn.com/g/p/7f0fd9464de418c3a83e22f8fb1de117.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111394176.html,Xiaomi,redmi 14c,6GB,128GB,,,,0,43,2599000,Hà Nội,https://img.lazcdn.com/g/p/dc646693cf7c2d23659eb0f1fab1bdea.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111172825.html,Xiaomi,14 ultra,16GB,512GB,,5G,,0,26,6399000,Hà Nội,https://img.lazcdn.com/g/p/184f4aaedf5916f7c3305bb40823cdef.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3110146543.html,Samsung,note 10 lite,,,,,,0,0,3400000,Bến Tre,https://img.lazcdn.com/g/ff/kf/Sd203287400294e96bc707762d187688fT.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3109222008.html,Samsung,note 10 lite,,,,,,0,0,3400000,Bến Tre,https://img.lazcdn.com/g/ff/kf/S31220cb9dd464468a4dd63a2734bea50d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3109125338.html,Xiaomi,14t,12GB,512GB,,5G,,0,43,4299000,Hà Nội,https://img.lazcdn.com/g/p/5906d9a83c45a4b84bc1d743cba495f5.jpg_200x200q80.avif
